081ff9bb table/code pointer (aligned) | 帕奇利兹：兹！
08248477 table/code pointer (aligned) | 我训练的两个伙伴是\n一只带着{fd02}的{fd03}和
08248700 table/code pointer (aligned) | 赣那么，\n下一次我能加入你吗？
08248c2f table/code pointer (aligned) | 狼你好！\n我是{fd02}，一个游泳者！
0824f5da other unaligned pointer + table/code pointer (aligned) | 眉\n人也好宝可梦也好，\n大家都是一样的[b0]\p个性决定了他们\n擅长某些事情，\l而不擅长另一些事情。
0825c813 other unaligned pointer | 滦 \n你的选择式对战挑战\n现在开始了[b0]
08272de5 other unaligned pointer | 没有可以\n使用的宝可梦了！\p{fd01}昏迷了！
082762c7 table/code pointer (aligned) | 挨那是什么？\n我在干什么？\p我想利用一个技能\n在这里打出我自己的地方。\p我知道！这个技能机器给你好了。\n用它也来造一个你自己的房间如何？
08290baa other unaligned pointer + table/code pointer (aligned) | 这里的水很深。宝可梦\n似乎可以潜下去。
082942c6 table/code pointer (aligned) |  太合意的了！
082942f0 table/code pointer (aligned) |  太不可思议！
08294301 table/code pointer (aligned) | \n你同意吗？
082a6b63 other unaligned pointer | 酱猝努缪粽
082b7570 table/code pointer (aligned) |  ，为什么？\n噘，求求你？真的求求你？\l请当我的老师吧，求求你！
082b7640 table/code pointer (aligned) | 彻对吗？没错！\n我会尽力的！\p如果我们还能见面的话，\n请教我更多的知识吧，老师！
082b7d19 table/code pointer (aligned) | 郴好的！\n不过您真的认为\l像我这样的人有机会取胜？\p虽说没什么希望\n我还是会尽力的。\p感谢您在百忙之中\n抽出时间回答我的问题。
082b7ee6 table/code pointer (aligned) |  ？为什么拒绝我？\n问你的人可是我啊！\l你必须再考虑考虑！
082b8357 table/code pointer (aligned) | 彻是吗？我明白了。\n我会抽时间准备的！\p[b0]哎呀，我要去工作了！\n谢谢你！回见！
082b8c21 table/code pointer (aligned) | 澈明白了！\n我完全明白！\l我真是有些欣喜若狂了！\p希望您以后还能\n教导教导我。
082b8dd4 table/code pointer (aligned) |  ！\n你真的是很酷很强[b0]\p请不要这样。\n我求你了！
082b9565 table/code pointer (aligned) | 萁你是说{fd02}！\n我这就准备去！\p说到建议，\n{fd01}，你的话总会令我满意！
082b95d9 table/code pointer (aligned) | 榔你不是{fd01}吗？\n我该怎么办？和你说话？\l为什么不？我已经在和你说话了！\p{fd01}，你对我感到很惊讶？\n那我就告诉你我的大名！\p你叫我{fd02}好了。\n吉他界最耀眼的明星，\l那就是我！\p你接受我吗？\n你肯定会接受的！\p我的运气无与伦比，\n我的要求无懈可击！\p{fd01}，我来当你的下属！\n你来教我如何上路！
082b9a85 table/code pointer (aligned) | 萁为什么？\p我保证不会给你惹麻烦！\n行不行？
082b9eab table/code pointer (aligned) | 拊好的！\n我会试一试的。\p希望我能勇于面对\n挑战，奋力拼搏[b0]\p谢谢你，{fd01}{fd05}。\n如果我们还能见面的话\l请再给我些建议。
082ba085 table/code pointer (aligned) | 菘\n但你出于什么原因拒绝了我？\p很抱歉我刚才在\n怀疑你的身份。\p请接受我的道歉\n收我做徒弟吧。
082ba1f5 table/code pointer (aligned) | ？\n你确定吗？\p我明白了。那就好。\n谢谢你抽空解答问题。\p我知道我不讨喜，但我很\n高兴你能接受我。\p回见！
082ba34f table/code pointer (aligned) | 萁真的？我不能让\n我的{fd02}携带任何道具？
082ba381 table/code pointer (aligned) | 萁好的！真高兴问题解决了！\n太酷了！棒极了！耶！\p太谢谢你了！
082ba3d3 table/code pointer (aligned) | 萁我太高兴了[b0]\n我记得我也有{fd02}。\p真高兴问题解决了！\n太酷了！棒极了！耶！\p太谢谢你了！
082ba58d table/code pointer (aligned) |  ？你是说我的{fd02}\n不需要携带任何道具？
082ba5c0 table/code pointer (aligned) | 萁我明白了！我会这么做的！\n谢谢你的指点！
082ba6e7 table/code pointer (aligned) | 败你好！\n我想问问有关{fd02}的事[b0]\p我想让它携带一个合适的道具。\n你看哪一个比较好？
082ba743 table/code pointer (aligned) | 萁那我的{fd02}不需要\n携带任何道具？
082baa1c table/code pointer (aligned) | 彻好的。\n不知道我能不能找到[b0]\l不！我会努力去找的。\p非常感谢！
082baa82 table/code pointer (aligned) | 萁可是[b0]\n我以前好像听说过这种道具[b0]\p是不是我以前没有\n正确使用{fd02}？\p还是说我的{fd03}\n不需要携带道具？
082bac44 table/code pointer (aligned) | 菥这么说我的{fd02}\n应该什么都不拿？
082badb7 table/code pointer (aligned) |  ？你说什么？\n你之前已经\l告诉过我{fd02}了。\p你是不是说我的{fd03}\n应该什么都不拿？
082baf4f table/code pointer (aligned) | 萁我是个大忙人，因此\n我的{fd02}不需要道具？
082bb060 table/code pointer (aligned) |  ？我早就知道\n那个{fd02}。\p哦，我明白了。\n你是说，我这种大忙人的\l{fd03}不需要道具？
082bb243 table/code pointer (aligned) | 菥一个{fd02}。\n太酷了！\l我肯定会用的！\p我今天想问你的\n就这么多。\p以后再见吧？\n谢谢你！
082bb7a3 table/code pointer (aligned) | 澈我会用的！\p嗬[b0]难道说，{fd01}，\n你的宝可梦也携带这个道具？\p我一定会弄到的！\n希望你以后\l还能再教教我。
082bb84b table/code pointer (aligned) | 菘你之前已经\n推荐过{fd02}了。\p这是不是最佳选择？\n难道你的意思是我的{fd03}\l不需要携带道具？
082bb971 table/code pointer (aligned) | 菘你是说我的{fd02}\n不需要道具就能赢？
082bba06 table/code pointer (aligned) | 萁一个{fd02}？\n很好！\l我会努力去找的！\p多谢，你又帮了大忙！\n再见！
082bbcf7 table/code pointer (aligned) | 萁应该选{fd02}！\n那我肯定不会用它的！\p开玩笑啦！\n我会听从你的教导的，师傅！\p谢谢你，师傅！\n希望你以后还能教导我！
082bc025 table/code pointer (aligned) | 萁你让我选{fd02}？\n你之前已经告诉过我了。\l我需要新的理念，新的思想。\p哦，等等，难道说？\n我的宝可梦不需要\l任何道具？
082bc809 table/code pointer (aligned) | 拊你认为我的{fd02}\n最好什么都不拿？
082bc84e table/code pointer (aligned) | 拊好的！\n那我就不用道具了。\p不过还是有点紧张。\n这是不是太酷了？\p谢谢你，{fd01}{fd05}。\n如果我们还能见面的话\l请再给我些建议。
082bc8eb table/code pointer (aligned) | 拊好的！\n那我就用{fd02}。\p不过还是有点紧张。\n这是不是太酷了？\p谢谢你，{fd01}{fd05}。\n如果我们还能见面的话\l请再给我些建议。
082bcfa2 table/code pointer (aligned) | 败你好！\p我认为对战中宝可梦\n的出场顺序至关重要。\p我的这些宝可梦，\n哪一个应该先出场？
082bd8f6 table/code pointer (aligned) | 寂我真是高兴死了[b0]\p能让你替我决定\n这简直就像是在做梦，{fd01}。\p我明白了！\n我会先派出{fd02}的！\p希望你以后\n还能再教教我。
082bdc6c table/code pointer (aligned) | 萁你选的是{fd02}？\n那我绝不选它！\p开玩笑啦！\n我会听从你的教导的，师傅！\p谢谢你，师傅！\n希望你以后还能教导我！
082be2a6 table/code pointer (aligned) | 拊好的！\n我会让{fd02}打头阵的。\p希望我能毫不气馁\n奋力拼搏[b0]\p谢谢你，{fd01}{fd05}。\n如果我们还能见面的话\l请再给我些建议。
082be71f table/code pointer (aligned) |  ，那么说{fd02}更好一点！\n好，就这么决定了！\p谢谢你的帮忙！
082be763 table/code pointer (aligned) | 败你好！\n我想问你个问题。\p我在犹豫该用\n{fd02}还是{fd03}，\p你说哪只宝可梦\n更强一点？
082beaea table/code pointer (aligned) | 郴太好了！\p这是你替我做的决定，\n{fd01}{fd05}，\l即使我输了我也不会失望的。\p好吧，下次我还会找你请教的，\n再见！
082befe4 table/code pointer (aligned) | 吗？\n我马上就去抓一只！\p谢谢，{fd01}，\n希望下次还能请你帮忙。\l祝你一路顺风！
082bfb50 table/code pointer (aligned) | ？\n你确定吗？\p知道了，那样就太好了，\n谢谢你的帮忙。\p希望就算是我也能\n沉着地解决这件事。\p下次再见吧！
082bfdb3 table/code pointer (aligned) | 更好吗？我想是的！\n好，我将和那一起去！\p老师，如果我们再次在这里见面，\n请教我其它东西！
082bfe25 table/code pointer (aligned) | 败你好！\n对于我来说{fd02}，有点\l担心你的决定。\p你看，这个决定{fd03}\n和{fd04}。\p对于我来说哪个更好更棒\n{fd02}？
082bfeaf table/code pointer (aligned) | 是你的选择吗？\n好，决定这样了！\p我将立刻{fd02}去\n教我的宠物！\p再见！
082c016f table/code pointer (aligned) | 郴太谢谢你了！\p知道你做的决定，\n{fd01}{fd05}，如果我失败了我，会十\l分不安的。\p好，我将再次接受你的建议。\n再见！
082c01cf other unaligned pointer |                                         怎么会这么忙？\n嗥，如果不是这样{fd01}{fd05}！\l你将怎么做？\p从我早上一起来，我就做了\n慢跑，游泳，和吃饭！\p你不相信我会这么忙吗！\p我甚至不能决定我的\n{fd02}学习！\p{fd03}看起来不错，哼？\n但是{fd04}也很适合。\p{fd01}{fd05}，给一些好的\n建议！怎样做将有益于我？
082c0afe table/code pointer (aligned) | 彻你说，嗥，嗥！\n我将立刻去教！\p如果我需要建议，\n{fd01}，你的话就是最好的！
082c0e02 other unaligned pointer + table/code pointer (aligned) | 彻对了。咳咳！\n我好了后将教它。\p我希望我能一直像这样\n帮助你。
082c1124 table/code pointer (aligned) | ？\n那儿没有问题了？\p我知道。如果很小心，一切都会很好。\n非常谢谢你。\p我希望我的宠物能学到一些\n东西。\p让我们再见面吧！
082c12d7 table/code pointer (aligned) | \p太棒了！厉害！哇啊啊啊！\n这已经很酷了！\p噘[b0]对不起[b0]\n我太高兴了，我要哭[b0]\p流鼻涕[b0]{fd01}！\n谢谢你的每件事！\p因为你我将要表演一场\n精彩的战斗，{fd01}！\p{fd01}[b0]\n下次[b0]我们将战斗！
082c15b8 table/code pointer (aligned) | \p[b0]太帅了！\n我决定就用这句了！\p我走到哪里就\n战斗到哪里。\p说不定有一天，我就能打败\n你了，{fd01}。\p下次见面时，就让我们痛快\n地打一场吧！
082c1751 table/code pointer (aligned) | \p太棒了[b0]\p啊[b0]我刚才的表现是不是\n很棒呢？\p不！我必须全力以赴！\p{fd01}，非常感谢你能\n容忍我这么久[b0]\p我保证从现在开始我会全力以赴的。\p我知道你很快就会忘掉\n我这种人的，但我们一定会\l再见面的！
082c19a2 table/code pointer (aligned) | \p真不赖！\n没错，这就是我要的答案！\p我要踏平这里并且\n用你刚才教我的\l向对访问候。\p对不起，刚才我太\n狂妄了！\p下次见面时和我打一场怎么样？\n回见！
082c1a77 table/code pointer (aligned) |  ，忙死了，忙死了！\n噘，嘿，我正找你呢，{fd01}{fd05}。\p身体还好吗？\n这儿对我来说还是和平常一样。\p每天都要跑步，战斗，\n还要画图。我咋这么忙呢？\p就算我再忙，也不能\n打赢之后\l抬腿就走吧。\p所以，在我离开时\n说些什么才能让我\l显得更酷呢？帮帮我吧，{fd01}{fd05}！
082c1c18 table/code pointer (aligned) | \p太好了，就是它了。\n我会找机会这么说的！\p老实说，有你这么好的朋友\n真是我的福气啊。\p不知怎的，我一有时间\n就想和人对战。\p谢谢你，{fd01}{fd05}！\n总有一天，你和我，我们会打一场的！
082c25b3 table/code pointer (aligned) | \p我应该这么说，是吗？\n那时，我就离开了那里！\p还是小孩子的时候！\n我会谨遵教诲的，老师！\p谢谢你的教导，\n老师！\p我终于知道了如何成为\n一名训练师。\p我要外出并且打败\n更多的训练师。\p可能你后还会遇到你，老师！\p就这样！\n再见了，老师！
082c2c79 table/code pointer (aligned) | \p[b0] [b0] [b0]太棒了。\n不，真是太感动了！\l我又开始流泪了！\p但是不用管我的眼泪\n和鼻子，我以后就这么说了！\p我还有事要和你说，\n{fd01}{fd05}。\p现在开始，我们就是对手了！\n谢谢你的帮助！
082c3025 table/code pointer (aligned) | \p[b0] [b0] [b0] [b0] [b0] [b0]\n当我赢得比赛时[b0]\p{fd02}\p[b0]你会当真吗？\p我知道。如果你呢能当真，那就再好不过了。\n十分感谢你能帮我。\p我希望我能\n说好这句话。\p我似乎在寻求帮助时\n有点儿太正经了。\p我现在应该立即和你告别\n并且自己想办法了。\p谢谢你，我的朋友！\n我为刚才对你的怀疑表示道歉！
082d08e4 other unaligned pointer + table/code pointer (aligned) | 嘿钮是快煌仔测曹啊肤  寝
082dcc53 other unaligned pointer + table/code pointer (aligned) |  挨扶鹤蕉
082dcd0a other unaligned pointer |  挨扶鹤蕉
082dcee2 other unaligned pointer | 女嗜镶渣
082dd1b5 other unaligned pointer + table/code pointer (aligned) | 女嗜镶渣
082dd2f9 other unaligned pointer + table/code pointer (aligned) |  埃到鹤蕉
082dd4d9 other unaligned pointer + table/code pointer (aligned) |  埃到鹤蕉
082dda02 other unaligned pointer + table/code pointer (aligned) | 女嗜镶渣
082ed961 table/code pointer (aligned) | 澈等待\n其他玩家的通信。
082ed991 table/code pointer (aligned) | 澈等待连接！\n当所有人准备完毕后按开始键。
082edb28 table/code pointer (aligned) | 名玩家\n模式
082edb36 table/code pointer (aligned) | 名玩家\n模式
082edb44 table/code pointer (aligned) | 名玩家\n模式
082edb52 table/code pointer (aligned) | 个玩家\n模式
082edc0e table/code pointer (aligned) | 连接上了你。\n想要交换{fd02}？
082edc36 table/code pointer (aligned) | 连接上了你。\n添加到成员？
082edc5e table/code pointer (aligned) | ！\n这些成员准备好了吗？
082edd58 table/code pointer (aligned) | 和其他成员的{fd02}模式\n将要被取消。{fc08}！
082eddcc table/code pointer (aligned) | 其他训练师\n断开了[b0][b0]\p
082ede0e table/code pointer (aligned) | 确认被你登录为\n成员。
082ede4a table/code pointer (aligned) | ！\n等待其他成员！
082ee25c table/code pointer (aligned) | 想做点什么？
082ee295 table/code pointer (aligned) | 臣你现在想要\n做什么？
082ee2e8 table/code pointer (aligned) | 有人连接上了你。{fc08}！
082ee30a table/code pointer (aligned) | 连接上了你。{fc08}！
082ee32c table/code pointer (aligned) | 等待\n另一个训练师响应[b0]
082ee380 table/code pointer (aligned) | 其他训练师展示\n给你看他们的训练师卡片。\p你也要展示\n训练师卡片？
082ee639 table/code pointer (aligned) | 萁你好！我们正在聊天。\n想要加入我们吗？
082ee675 table/code pointer (aligned) | 臣你好，{fd01}！\n我们在聊天。\l想要加入我们吗？
082ee9b4 table/code pointer (aligned) | 对不起！我的宝可梦看起来\n好像不太好。\l下次再战斗吧。\p
082eea70 table/code pointer (aligned) | 嗬？我的训练师卡片[b0]\n找不到了？\l对不起！下次展示给你吧！\p
082eeac1 table/code pointer (aligned) | 菘我的训练师卡片呢？[b0][b0]\l对不起！以后展示给你看吧！\p
082eeb10 table/code pointer (aligned) | 如果以后有什么事找我\n尽管说！\p
082eec7d table/code pointer (aligned) | 拊[b0]\n请随时过来看我。\p
082eeca4 table/code pointer (aligned) | 不好意思！\n不能聊了。\l下次再说吧。\p
082eed44 table/code pointer (aligned) | 哇！\n你太坚强了！\p
082eeecc table/code pointer (aligned) | 我知道了！\n受教了！\p
082eef2d table/code pointer (aligned) | 菘\n那种事发生了。\p
082ef030 table/code pointer (aligned) | 展示训练师卡片\n作为我的问候。\p
082ef1ee table/code pointer (aligned) | 检查了\n交换平台。\p
082ef742 table/code pointer (aligned) | 还不能和你交换\n你的宝可梦。\p
082ef7b0 table/code pointer (aligned) | 你的交换请求被拒绝。\p
082efbc8 table/code pointer (aligned) | 搜索一个无线通信系统。\n等待[b0][b0]
082efc56 table/code pointer (aligned) | 想要登记你\n为成员。请稍后。
082effdd table/code pointer (aligned) | 斑很高兴认识了你！{fc08}！
082efffd table/code pointer (aligned) | 斑很高兴认识你！{fc08}！
082f0022 table/code pointer (aligned) | 的训练师卡片\n确认完毕。{fc08}！
082f04a6 table/code pointer (aligned) |   埃到滦求溻
082ff71c table/code pointer (aligned) |   啊啊焓  疆啊疆  疆
08300d38 dialogue (loadpointer) | 野[38]腿框厕
08305f68 table/code pointer (aligned) |   鳅啊鳅  啊
08306306 other unaligned pointer |     野啊野  貉
08306366 other unaligned pointer |     野啊呓  野啊呓  野
0830844a table/code pointer (aligned) |     湔啊曹  湔
08308676 other unaligned pointer |     野啊野  野啊野  野
08308816 other unaligned pointer |     野啊野  野啊野  野
0830ad07 other unaligned pointer | 迸蓖蔽毕兵冰柄啊 
0831a81e other unaligned pointer |       流沙地狱
0831afc8 table/code pointer (aligned) | 场时下雨
0831b20a other unaligned pointer |     近身接触可能麻痹中毒睡眠
0831b50e table/code pointer (aligned) | 受到天气影响改变形态
0832dae5 table/code pointer (aligned) | 要交换吗？
0833979d table/code pointer (aligned) |  做出来了！
08339c7a table/code pointer (aligned) | 呓牛曹啊\l 呓牛\n
08440324 table/code pointer (aligned) | 埃埃埃埃
0844d394 table/code pointer (aligned) | 埃埃埃埃
084975c5 table/code pointer (aligned) | 哀蒋阿阿艾啊     
085104c5 table/code pointer (aligned) | 哥块噪   鳅\n
08571575 table/code pointer (aligned) | 怦婪怦蜡怦婪怦揽怦狼怦老怦雷怦肋怦犁怦荔怦块啊啊   
08595054 table/code pointer (aligned) |   啊肤貉块貉
08595878 table/code pointer (aligned) | 倒啊曹啊啊啊  啊
08596adb other unaligned pointer | 谅伦阔 啊
085b8de1 table/code pointer (aligned) | 浅滩洞穴
085ccbbc table/code pointer (aligned) | 一般系技能
085cccc4 table/code pointer (aligned) |         龙系技能
085de592 table/code pointer (aligned) |   缕牛寝绮
085def47 table/code pointer (aligned) |  讠绮轫艨
085def6a table/code pointer (aligned) | 啊曹倒貉缕
085def76 table/code pointer (aligned) | 缕牛寝驶迢嫌野
085def92 table/code pointer (aligned) | 讠茑呓狲湔
085defe2 table/code pointer (aligned) | 肤块野兹湔轫
085efd66 table/code pointer (aligned) |    弗滟乡  酱燥嗅 
0860a1c2 table/code pointer (aligned) |  轫缕轫啊轫肤轫寝轫{fd00}
0860a1e8 table/code pointer (aligned) |  块轫缕块轫{fd00}
0860aa64 table/code pointer (aligned) |  阂啊冶肤草曹草曹草曹草曹曹
0860ad31 table/code pointer (aligned) |    阿啊埃 啊 厕厕阿草草 啊啊   
0860b0a8 table/code pointer (aligned) | 揖辇险扶蹬
08623a76 table/code pointer (aligned) | 年地区锦标赛
08623a9c table/code pointer (aligned) | 年全国锦标赛
08623ab2 table/code pointer (aligned) | 年世界杯
08623ae7 table/code pointer (aligned) | 年地区锦标赛
08623afd table/code pointer (aligned) | 年全国锦标赛
08623b13 table/code pointer (aligned) | 年世界杯
08623b23 table/code pointer (aligned) | 年地区锦标赛
08623b39 table/code pointer (aligned) | 年全国锦标赛
08623b4f table/code pointer (aligned) | 年世界杯
08623d12 table/code pointer (aligned) | 寒假缎带
08623d7b table/code pointer (aligned) | 交际广泛的象征缎带
0862a9fc table/code pointer (aligned) |   轫曹轫肤轫曹轫\n
08674bbd other unaligned pointer |                        一个稀有词被添加。
08674bf2 table/code pointer (aligned) | 发送完毕！
08674cdd other unaligned pointer | 感谢使用\n图章卡片系统。\p你需要收集更多{fd02}\n来填满图章卡片。
08675184 table/code pointer (aligned) | 感谢使用\n神秘礼物系统。\p你的战斗积分卡保留着\n你和其他拥有相同卡的\l训练师战斗录像。\p寻找并和拥有与你有相同卡的训练师\n进行战斗吧。\p你可以检查最终排名\n通过阅读新闻。\p请一定要试试看！
086753a9 other unaligned pointer | 感谢使用\n神秘礼物系统。\p你一定是{fd01}。\n这是给你的票。
08675498 table/code pointer (aligned) | 萁抱歉，{fd01}。\n你的背包里放重要物品的口袋满了。\p请存一些东西到电脑\n然后回来拿这个吧。
08675581 other unaligned pointer | 感谢使用\n神秘礼物系统。\p你一定是{fd01}。\n这是给你的票。
08675670 table/code pointer (aligned) | 萁抱歉，{fd01}。\n你的背包里放重要物品的口袋满了。\p请存一些东西到电脑\n然后回来拿这个吧。
08675861 other unaligned pointer | 感谢使用\n神秘礼物系统。\p让我确定下，你是{fd01}？\p我们收到这个古代航图是给你的。
0867596b table/code pointer (aligned) | 萁抱歉，{fd01}。\n你的背包里放重要物品的口袋满了。\p请存一些东西到电脑\n然后回来拿这个吧。
086f2578 other unaligned pointer | 策鹤降降赫曹
0874114a table/code pointer (aligned) |   埃导草阿阿啊 
087e7a77 other unaligned pointer | [f0]俺踪棕喳哎
088ea0d8 other unaligned pointer | \n疟弄厕鹤匠 
089db00d table/code pointer (aligned) | 柴柴柴草
08a44200 other unaligned pointer | 唬把把把把唬
08a655fc table/code pointer (aligned) | 随意遗迹
08b0509c table/code pointer (aligned) | 氯氯氯氯
08d40d8b other unaligned pointer | 蛙戢泵俄[5c]
08d50312 other unaligned pointer | [f0]舱舱舱舱舱舱舱播[f0]才啊                                                                                                                                                                         
08dcf210 table/code pointer (aligned) |   ！扁锄扁蚁纯。
08dd0d79 table/code pointer (aligned) | 踪诅踪诅冽
08f55cb1 other unaligned pointer | 本笨崩绷甭泵蹦迸逼鼻比鄙笔彼碧蓖蔽毕毙毖币庇痹闭敝弊必辟壁臂避陛鞭边编贬扁便变卞辨辩辫遍标彪膘表鳖憋别瘪彬斌濒滨宾摈兵冰柄丙秉饼炳病并玻菠播拨钵波博勃搏铂箔伯帛舶脖膊渤泊驳捕卜哺啊 
08f55ef1 other unaligned pointer | 宠抽酬曹 
08f56171 other unaligned pointer | 耽担丹单郸曹 
08fffffe other unaligned pointer |  缕野啊 孪厕
09007d08 table/code pointer (aligned) | 埃寝阿升
0900aaa6 table/code pointer (aligned) | 蔼倒浦路比
0900ab03 table/code pointer (aligned) |      茑茑茑茑    
0900ac14 other unaligned pointer | 真弥和依
0900acad other unaligned pointer | 显氯貉！淳也
0900c10c other unaligned pointer |     茑茑茑茑    
0900c131 other unaligned pointer |        茑茑茑茑    
0900dc0a table/code pointer (aligned) | 确三六悔
0900e107 other unaligned pointer | 缕铹敉[b0]连
0919d948 other unaligned pointer | 凳浸娇绯
091a9904 table/code pointer (aligned) | 您辋辘戗
09219cfe other unaligned pointer | 珐酌浊增轧
092aff0e other unaligned pointer |  仕甸竟 野
09510bb1 table/code pointer (aligned) | 妊缕啊啊   
09551e4d table/code pointer (aligned) | 装有格斗属性数据\n的存储碟。
09551e68 table/code pointer (aligned) | 装有飞行属性数据\n的存储碟。
09551e83 table/code pointer (aligned) | 装有毒属性数据的\n存储碟。
09551e9c table/code pointer (aligned) | 装有地面属性数据\n的存储碟。
09551eb7 table/code pointer (aligned) | 装有岩石属性数据\n的存储碟。
09551ed2 table/code pointer (aligned) | 装有虫属性数据的\n存储碟。
09551eeb table/code pointer (aligned) | 装有幽灵属性数据\n的存储碟。
09551f06 table/code pointer (aligned) | 装有钢属性数据的\n存储碟。
09551f1f table/code pointer (aligned) | 装有火属性数据的\n存储碟。
09551f38 table/code pointer (aligned) | 装有水属性数据的\n存储碟。
09551f51 table/code pointer (aligned) | 装有草属性数据的\n存储碟。
09551f6a table/code pointer (aligned) | 装有电属性数据的\n存储碟。
09551f83 table/code pointer (aligned) | 装有超能力属性数\n据的存储碟。
09551fa0 table/code pointer (aligned) | 装有冰属性数据的\n存储碟。
09551fb9 table/code pointer (aligned) | 装有龙属性数据的\n存储碟。
09551fd2 table/code pointer (aligned) | 装有恶属性数据的\n存储碟。
09551feb table/code pointer (aligned) | 装有妖精属性数据\n的存储碟。
09553334 other unaligned pointer + table/code pointer (aligned) | 给大力鲷携带后在\n战斗时能够超进化\n的超进化石。
09600152 table/code pointer (aligned) | 天生个性高傲，身上的长毛可以\n御寒。
09600174 table/code pointer (aligned) | 翅膀的攻击非常强而有力，会在\n结冰的海中寻找猎物。
096001a4 table/code pointer (aligned) | 能以不输摩托艇的速度游泳。翅\n膀的边缘很锐利，能将浮冰切断\n。
096001de table/code pointer (aligned) | 会很多只一起群体行动。虽然身\n体很小，但拍打翅膀的力量非常\n强。
0960021a table/code pointer (aligned) | 有组成庞大的团队来行动的习性\n。各个团队之间的争斗很激烈。\n
09600253 table/code pointer (aligned) | 个性凶猛，就算遇到比自己更巨\n大的对手，也会果敢的挑战。
09600288 table/code pointer (aligned) | 拥有健壮的门牙来啃咬树木与岩\n石，在水边建巢居住。
096002b8 table/code pointer (aligned) | 勤劳地用锐利的门牙啃断树枝和\n树根，堆积起来在水边筑巢。
096002ee table/code pointer (aligned) | 用互相撞击触角发出的声音和伙\n伴对话。那音色是秋夜的风景诗\n。
09600329 table/code pointer (aligned) | 鸣叫的时候会将刀子般的前臂交\n叉在胸前。即兴创作出旋律。
0960035f table/code pointer (aligned) | 察觉到危险时，全身的体毛就会\n发出光芒，由此趁对方的眼睛，\n还来不及适应时逃走。
096003aa table/code pointer (aligned) | 从爪子释放出一击就能令人晕嘏\n的电流。由数只组成团队生活。\n
